Date,Data,Change
"Jan 1, 2026",476502,1410
"Jan 2, 2026",477912,1410
"Jan 3, 2026",479322,1410
"Jan 4, 2026",480732,1410
"Jan 5, 2026",482142,1410
"Jan 6, 2026",482817,675
"Jan 7, 2026",482956,139
"Jan 8, 2026",483094,138
"Jan 9, 2026",483216,122
"Jan 10, 2026",486310,3094
"Jan 11, 2026",487411,1101
"Jan 12, 2026",488511,1100
"Jan 13, 2026",489467,956
"Jan 14, 2026",490423,956
"Jan 15, 2026",491382,959
"Jan 16, 2026",489932,-1450
"Jan 17, 2026",489302,-630
"Jan 18, 2026",487411,-1891
"Jan 19, 2026",485519,-1892
"Jan 20, 2026",484176,-1343
"Jan 21, 2026",482833,-1343
"Jan 22, 2026",475293,-7540
"Jan 23, 2026",472420,-2873
"Jan 24, 2026",469546,-2874
"Jan 25, 2026",471088,1542
"Jan 26, 2026",471055,-33
"Jan 27, 2026",471604,549
"Jan 28, 2026",472153,549
"Jan 29, 2026",473913,1760
"Jan 30, 2026",474644,731
"Jan 31, 2026",478796,4152
"Feb 1, 2026",481021,2225
"Feb 2, 2026",483245,2224
"Feb 3, 2026",485705,2460
"Feb 4, 2026",489629,3924
"Feb 5, 2026",493552,3923
"Feb 6, 2026",494901,1349
"Feb 7, 2026",496250,1349
"Feb 8, 2026",498110,1860
"Feb 9, 2026",499969,1859
"Feb 10, 2026",501813,1844
"Feb 11, 2026",503142,1329
"Feb 12, 2026",504470,1328
"Feb 13, 2026",506828,2358
"Feb 14, 2026",511296,4468
"Feb 15, 2026",512619,1323
"Feb 16, 2026",513941,1322
"Feb 17, 2026",516698,2757
"Feb 18, 2026",519455,2757
"Feb 19, 2026",520918,1463
"Feb 20, 2026",522381,1463
"Feb 21, 2026",524242,1861
"Feb 22, 2026",532380,8138
"Feb 23, 2026",539237,6857
"Feb 24, 2026",543504,4267
"Feb 25, 2026",547771,4267
"Feb 26, 2026",549247,1476
"Feb 27, 2026",550722,1475
"Feb 28, 2026",553645,2923
"Mar 1, 2026",556984,3339
"Mar 2, 2026",558633,1649
"Mar 3, 2026",560281,1648
"Mar 4, 2026",560109,-172
"Mar 5, 2026",559291,-818
"Mar 6, 2026",558473,-818
"Mar 7, 2026",557893,-580
"Mar 8, 2026",557759,-134
"Mar 9, 2026",557625,-134
"Mar 10, 2026",557738,113
"Mar 11, 2026",557851,113
"Mar 12, 2026",557359,-492
"Mar 13, 2026",555904,-1455
"Mar 14, 2026",556969,1065
"Mar 15, 2026",557718,749
"Mar 16, 2026",558467,749
"Mar 17, 2026",558448,-19
"Mar 18, 2026",558428,-20
"Mar 19, 2026",557427,-1001
"Mar 20, 2026",556425,-1002
"Mar 21, 2026",554613,-1812
"Mar 22, 2026",553141,-1472
"Mar 23, 2026",551669,-1472
"Mar 24, 2026",550197,-1472
"Mar 25, 2026",547310,-2887
"Mar 26, 2026",545855,-1455
"Mar 27, 2026",544400,-1455
"Mar 28, 2026",542509,-1891
"Mar 29, 2026",541969,-540
"Mar 30, 2026",541428,-541
