Date,Streams
2026-03-30,4629
2026-03-29,4587
2026-03-28,4916
2026-03-27,4608
2026-03-26,4857
2026-03-25,4656
2026-03-24,4650
2026-03-23,4734
2026-03-22,4552
2026-03-21,4489
2026-03-20,4689
2026-03-19,5050
2026-03-18,4738
2026-03-17,5014
2026-03-16,5251
2026-03-15,4531
2026-03-14,4873
2026-03-13,4864
2026-03-12,4955
2026-03-11,4700
2026-03-10,5206
2026-03-09,4952
2026-03-08,4654
2026-03-07,4963
2026-03-06,4812
2026-03-05,5190
2026-03-04,5232
2026-03-03,5072
2026-03-02,5095
2026-03-01,4896
2026-02-28,4843
2026-02-27,5188
2026-02-26,5231
2026-02-25,5272
2026-02-24,5512
2026-02-23,5429
2026-02-22,5326
2026-02-21,5147
2026-02-20,5366
2026-02-19,5059
2026-02-18,5008
2026-02-17,5043
2026-02-16,4291
2026-02-15,5076
2026-02-14,5026
2026-02-13,5284
2026-02-12,5009
2026-02-11,4918
2026-02-10,5094
2026-02-09,4561
2026-02-08,4351
2026-02-07,4423
2026-02-06,5164
2026-02-05,5676
2026-02-04,5572
2026-02-03,5342
2026-02-02,5399
2026-02-01,5805
2026-01-31,5560
2026-01-30,5597
2026-01-29,4711
2026-01-28,4674
2026-01-27,4701
2026-01-26,4165
2026-01-25,3640
2026-01-24,4035
2026-01-23,4469
2026-01-22,4498
2026-01-21,4555
2026-01-20,4636
2026-01-19,4317
2026-01-18,4078
2026-01-17,4371
2026-01-16,4775
2026-01-15,4218
2026-01-14,4453
2026-01-13,4987
2026-01-12,4657
2026-01-11,4278
2026-01-10,4512
2026-01-09,4613
2026-01-08,4789
2026-01-07,4295
2026-01-06,4701
2026-01-05,4503
2026-01-04,3975
2026-01-03,4199
2026-01-02,3756
