Title,Streams
WE STILL BELIEVE,"2,227,153"
Temple,"1,256,572"
With God,"937,941"
What A God,"870,522"
Celebrate,"859,671"
New Every Morning,"721,314"
Daily,"703,525"
Abba,"677,556"
Baba,"499,858"
Abide,"452,514"
King of Heaven,"352,251"
Jehova,"286,158"
PULL ME CLOSE / BECAUSE HE LIVES,"283,159"
Restore,"233,217"
Ways,"198,836"
WEATHER,"198,051"
Father's House,"197,499"
Blessed,"188,689"
Prosper,"188,104"
King Jesus,"186,542"
Jubilate,"162,617"
Noah's Flood,"108,760"
Too Much,"106,876"
Don't Let Go,"106,292"
Oluwa Ese,"103,519"
Belong,"101,952"
You Surround,"86,733"
No Limits,"80,776"
Noel,"62,309"
With Me,"55,825"
"Welcome To Maverick City Tour- Chicago, IL   Maverick City Music","47,467"
Yahweh / Yahweh Se Manifestará,"44,737"
Kem Di Hallelujah,"41,463"
Temple,"40,228"
Holy Forever / King of Heaven,"39,988"
So Wonderful,"37,163"
Faithfulness,"37,060"
Baba,"36,073"
Amen,"32,634"
Intro,"27,509"
Worthy of My Praise / Ancient of Days,"27,397"
Alpha & Omega,"27,184"
FREED,"26,386"
Highest Praise,"25,974"
Daily,"22,164"
No Longer Slaves,"18,123"
deck the halls.wav,"15,475"
Love Song,"11,610"
Alleluia,"10,192"
"Welcome To Maverick City Tour- Jacksonville, FL   Maverick City Music","10,081"
The Vow,"9,597"
Keep Praying,"9,335"
Jehova Medley,"8,736"
Jesus My Everything,"7,567"
Protect My Peace,"7,317"
"Vessel Featuring Jabril, Dr. Ralph Dartey","6,385"
Creation's Song,"5,358"
Summer Night,"5,078"
Hail The Name,"5,026"
This Way,"4,788"
Be Praised,"3,657"
FIRST LOVE,"3,206"
Abba Interlude,"2,911"
WYMM?,"2,888"
Be Exalted,"2,579"
God is Alive Now,"1,064"
Fear Not,"1,062"
Amen,"1,012"
Above Your Name,602
Rapha,239
Rachel's Interlude,156
Ryan Ofei on Abba,80
Ryan Ofei on New Every Morning,42
Ryan Ofei on Celebrate,30
Ryan Ofei on Don't Let Go,25
Ryan Ofei on Father's House,25
Ryan Ofei on With God,24
Ryan Ofei on Rachel's Interlude,23
Ryan Ofei on Restore,17
Ryan Ofei on Temple,17
Ryan Ofei on Noah's Flood,17
"Welcome To Maverick City Tour- Fairfax, Va   Maverick City Music",0
Only God,0
"Welcome To Maverick City Tour- Columbia, SC  Maverick City Music",0
"Welcome To Maverick City Tour- Atlanta, GA   Maverick City Music",0
Daily,0
