Title,Streams
With God,"80,399"
Celebrate,"78,668"
New Every Morning,"77,512"
Daily,"76,939"
Temple,"66,437"
Abba,"66,126"
Baba,"60,741"
Jehova,"50,177"
Abide,"35,806"
WE STILL BELIEVE,"31,499"
Prosper,"27,118"
King of Heaven,"24,383"
Jubilate,"23,510"
Father's House,"20,495"
Restore,"20,036"
No Limits,"18,769"
Oluwa Ese,"15,073"
Noah's Flood,"13,960"
What A God,"13,041"
You Surround,"12,041"
Don't Let Go,"11,889"
With Me,"11,151"
Belong,"9,810"
Blessed,"8,851"
Ways,"8,456"
WEATHER,"8,387"
Too Much,"8,342"
Noel,"7,613"
So Wonderful,"6,916"
Kem Di Hallelujah,"6,369"
Yahweh / Yahweh Se Manifestará,"5,821"
Worthy of My Praise / Ancient of Days,"5,573"
King Jesus,"5,474"
Holy Forever / King of Heaven,"5,054"
PULL ME CLOSE / BECAUSE HE LIVES,"4,885"
Temple,"4,240"
Amen,"4,038"
Baba,"3,863"
Alpha & Omega,"3,771"
FREED,"3,376"
Faithfulness,"3,275"
No Longer Slaves,"2,840"
Daily,"2,788"
Intro,"2,673"
"Welcome To Maverick City Tour- Chicago, IL   Maverick City Music","2,234"
Love Song,"1,433"
Jehova Medley,"1,425"
deck the halls.wav,"1,268"
The Vow,"1,254"
Keep Praying,976
Highest Praise,954
Jesus My Everything,946
Protect My Peace,817
"Vessel Featuring Jabril, Dr. Ralph Dartey",726
Hail The Name,680
FIRST LOVE,675
This Way,657
Creation's Song,631
Summer Night,615
Alleluia,512
WYMM?,370
Be Exalted,334
Abba Interlude,277
Be Praised,196
Above Your Name,184
Fear Not,116
God is Alive Now,104
Amen,81
Ryan Ofei on Abba,20
Rapha,9
Rachel's Interlude,8
Ryan Ofei on New Every Morning,8
Ryan Ofei on With God,6
Ryan Ofei on Father's House,5
Ryan Ofei on Celebrate,5
Ryan Ofei on Rachel's Interlude,4
Ryan Ofei on Don't Let Go,4
Ryan Ofei on Restore,4
Ryan Ofei on Temple,4
Ryan Ofei on Noah's Flood,4
"Welcome To Maverick City Tour- Fairfax, Va   Maverick City Music",0
"Welcome To Maverick City Tour- Jacksonville, FL   Maverick City Music",0
Only God,0
"Welcome To Maverick City Tour- Columbia, SC  Maverick City Music",0
"Welcome To Maverick City Tour- Atlanta, GA   Maverick City Music",0
Daily,0
