Title,Streams
WE STILL BELIEVE,"1,715,773"
Temple,"888,201"
What A God,"660,488"
With God,"564,272"
Celebrate,"487,336"
New Every Morning,"420,558"
Abba,"363,685"
Abide,"335,575"
Daily,"284,658"
PULL ME CLOSE / BECAUSE HE LIVES,"222,477"
Baba,"201,214"
King of Heaven,"199,639"
Ways,"153,175"
Blessed,"141,151"
Restore,"138,385"
King Jesus,"124,947"
WEATHER,"121,769"
Father's House,"119,929"
Jehova,"115,857"
Jubilate,"74,494"
Too Much,"70,385"
Noah's Flood,"66,955"
Don't Let Go,"66,026"
You Surround,"53,741"
Oluwa Ese,"53,514"
Prosper,"52,243"
Belong,"36,690"
No Limits,"32,552"
Temple,"25,762"
Faithfulness,"24,849"
With Me,"24,666"
Noel,"23,604"
Holy Forever / King of Heaven,"21,111"
Yahweh / Yahweh Se Manifestará,"20,117"
Highest Praise,"19,989"
Kem Di Hallelujah,"19,636"
Baba,"19,353"
Intro,"17,838"
"Welcome To Maverick City Tour- Chicago, IL   Maverick City Music","15,618"
Alpha & Omega,"15,296"
Worthy of My Praise / Ancient of Days,"14,389"
So Wonderful,"13,473"
FREED,"11,660"
No Longer Slaves,"11,048"
deck the halls.wav,"8,939"
Alleluia,"8,255"
Daily,"7,669"
Love Song,"7,188"
Amen,"6,884"
Keep Praying,"6,036"
Jehova Medley,"5,150"
The Vow,"5,050"
Protect My Peace,"4,631"
"Vessel Featuring Jabril, Dr. Ralph Dartey","3,925"
Creation's Song,"3,740"
Jesus My Everything,"3,177"
Summer Night,"2,877"
Be Praised,"2,701"
This Way,"2,367"
Hail The Name,"2,201"
WYMM?,"1,675"
Abba Interlude,"1,662"
Be Exalted,"1,405"
God is Alive Now,729
Fear Not,688
Amen,490
FIRST LOVE,211
"Welcome To Maverick City Tour- Jacksonville, FL   Maverick City Music",209
Rapha,202
Above Your Name,158
Rachel's Interlude,105
Ryan Ofei on Abba,39
Ryan Ofei on New Every Morning,23
Ryan Ofei on Celebrate,20
Ryan Ofei on Don't Let Go,16
Ryan Ofei on Father's House,15
Ryan Ofei on With God,14
Ryan Ofei on Rachel's Interlude,13
Ryan Ofei on Temple,10
Ryan Ofei on Noah's Flood,9
Ryan Ofei on Restore,5
"Welcome To Maverick City Tour- Fairfax, Va   Maverick City Music",0
Only God,0
"Welcome To Maverick City Tour- Columbia, SC  Maverick City Music",0
"Welcome To Maverick City Tour- Atlanta, GA   Maverick City Music",0
Daily,0
