Date,Streams
2026-03-30,4022
2026-03-29,3866
2026-03-28,3917
2026-03-27,4179
2026-03-26,4214
2026-03-25,3990
2026-03-24,3962
2026-03-23,4431
2026-03-22,3746
2026-03-21,4008
2026-03-20,3752
2026-03-19,3840
2026-03-18,4610
2026-03-17,4389
2026-03-16,4898
2026-03-15,4315
2026-03-14,4188
2026-03-13,4426
2026-03-12,4518
2026-03-11,4781
2026-03-10,4740
2026-03-09,4702
2026-03-08,4512
2026-03-07,4541
2026-03-06,5134
2026-03-05,4894
2026-03-04,4858
2026-03-03,5058
2026-03-02,5342
2026-03-01,5436
2026-02-28,5013
2026-02-27,5313
2026-02-26,5546
2026-02-25,5753
2026-02-24,6316
2026-02-23,6487
2026-02-22,6010
2026-02-21,5860
2026-02-20,6085
2026-02-19,5983
2026-02-18,6239
2026-02-17,6429
2026-02-16,6349
2026-02-15,5926
2026-02-14,5465
2026-02-13,6190
2026-02-12,5935
2026-02-11,6205
2026-02-10,6679
2026-02-09,6312
2026-02-08,6125
2026-02-07,5648
2026-02-06,5393
2026-02-05,6695
2026-02-04,6077
2026-02-03,5482
2026-02-02,4839
2026-02-01,4253
2026-01-31,4532
2026-01-30,4138
2026-01-29,4233
2026-01-28,3872
2026-01-27,3937
2026-01-26,4053
2026-01-25,3870
2026-01-24,3687
2026-01-23,4231
2026-01-22,4089
2026-01-21,4141
2026-01-20,3639
2026-01-19,3844
2026-01-18,3926
2026-01-17,4064
2026-01-16,4343
2026-01-15,3679
2026-01-14,3828
2026-01-13,4425
2026-01-12,3985
2026-01-11,4079
2026-01-10,3966
2026-01-09,4431
2026-01-08,4255
2026-01-07,3738
2026-01-06,3678
2026-01-05,3866
2026-01-04,3550
2026-01-03,3650
2026-01-02,3978
