Date,Streams
2026-03-30,3214
2026-03-29,2969
2026-03-28,2839
2026-03-27,3176
2026-03-26,3704
2026-03-25,3739
2026-03-24,3594
2026-03-23,3723
2026-03-22,3098
2026-03-21,3061
2026-03-20,3687
2026-03-19,3905
2026-03-18,3972
2026-03-17,4256
2026-03-16,4251
2026-03-15,3755
2026-03-14,3253
2026-03-13,3728
2026-03-12,4325
2026-03-11,4250
2026-03-10,4256
2026-03-09,4322
2026-03-08,3793
2026-03-07,3647
2026-03-06,3977
2026-03-05,4229
2026-03-04,4389
2026-03-03,4434
2026-03-02,4358
2026-03-01,3782
2026-02-28,3747
2026-02-27,4152
2026-02-26,4727
2026-02-25,4546
2026-02-24,4597
2026-02-23,4913
2026-02-22,4361
2026-02-21,3810
2026-02-20,4232
2026-02-19,4163
2026-02-18,4566
2026-02-17,4299
2026-02-16,4435
2026-02-15,3856
2026-02-14,3311
2026-02-13,3674
2026-02-12,3751
2026-02-11,3780
2026-02-10,4081
2026-02-09,3793
2026-02-08,3498
2026-02-07,3310
2026-02-06,3728
2026-02-05,4285
2026-02-04,4326
2026-02-03,3782
2026-02-02,4021
2026-02-01,3686
2026-01-31,3462
2026-01-30,3856
2026-01-29,3605
2026-01-28,3505
2026-01-27,3721
2026-01-26,3907
2026-01-25,2845
2026-01-24,2814
2026-01-23,3616
2026-01-22,3666
2026-01-21,3678
2026-01-20,3617
2026-01-19,3646
2026-01-18,2975
2026-01-17,2913
2026-01-16,3533
2026-01-15,3664
2026-01-14,3954
2026-01-13,3915
2026-01-12,3881
2026-01-11,2965
2026-01-10,3018
2026-01-09,3317
2026-01-08,3404
2026-01-07,3380
2026-01-06,3396
2026-01-05,3053
2026-01-04,2294
2026-01-03,2415
2026-01-02,2712
