Track,Creations Views,Creations
Only God,7452622,3353
Daily,2709098,879
Celebrate,952247,683
What A God - Live,1236248,626
Temple,2228517,622
We Still Believe (HLY FOREVER) (feat. One Church Music),342479,615
"Keep Praying (feat. DOE, Ryan Ofei & Mav City Gospel Choir)",561488,555
Still Holy (feat. Ryan Ofei & Naomi Raine),212825,419
"Freedom Looks Good on You (feat. Israel Houghton, Ryan Ofei, Bri Babineaux & Mav City Gospel Choir)",226149,383
Abba,247573,352
Be Praised (feat. Ryan Ofei & Joe L Barnes),131380,253
Baba,341376,244
New Every Morning,145540,235
"Moving (feat. Tianna, Ryan Ofei & Joe L Barnes)",112109,164
"The Blood is Still the Blood Reprise (feat. Chandler Moore, Nicole Binion, Ryan Ofei)",58857,150
Can't Nobody (feat. Ryan Ofei & Maryanne J. George),36722,115
Here I Am to Worship (More Than Life) [feat. Ryan Ofei & Mav City Gospel Choir],212229,109
Noel,173694,107
"Blood is Still the Blood (feat. Chandler Moore, Nicole Binion, Ryan Ofei)",182619,106
Jehova,36873,95
Baba,383038,92
"High Praise (feat. Ryan Ofei, Mariah Adigun)",50647,89
Daily,50765,85
"Take Me Back (feat. Dante Bowe & Ryan Ofei, Chandler Moore)",2181,81
Jubilate,57190,79
Daily - Remix,,78
"Keep Praying - Live from Studio 20/20, Acoustic",10628,70
Prosper,,67
Oluwa Ese,,59
"Rumors (feat. Ryan Ofei, Mariah Adigun & Joe L Barnes)",287431,51
"Build My Life (feat. Joe L Barnes, Ryan Ofei & Jekalyn Carr)",44766,47
Cover Me,24332,45
Fear Not (Never Stop Praying) - Live,699990,45
"Where Would I Be? (feat. Dante Bowe, Ryan Ofei & Brandon Lake)",47878,42
Abide,22446,40
Ways,35927,39
Belong,,38
With Me,,38
Daily,22457,37
Amen (Wo Awie),10200,37
New Every Morning,18575,34
King of Heaven,21019,33
"Joyful Joyful We Adore Thee (feat. Ryan Ofei, Tianna & Mav City Gospel Choir)",15906,33
Ways,20286,33
Pull Me Close / Because He Lives,,33
YAHWEH MOMENT,,30
Blessed,,29
deck the halls.wav,,28
"Take Me Back (feat. Dante Bowe & Ryan Ofei, Chandler Moore)",4480,26
Too Much,,26
"King of Heaven (Reign Jesus Reign) [feat. Ryan Ofei, Nate Diaz & Lizzie Morgan]",46004,25
Above Your Name,3284,25
New Every Morning - Live,,24
"Rumors (feat. Ryan Ofei, Mariah Adigun & Joe L Barnes)",9788,22
Jehova,26383,21
Abba,62229,17
Jubilate,42801,17
Faithfulness,,17
You Surround - Live,28244,16
"King of Heaven (Agnus Dei) [feat. Ryan Ofei, Nate Diaz & Lizzie Morgan]",15833,16
Ways,28218,14
Daily - Remix,9281,14
"King of Heaven (Reign Jesus Reign) [feat. Ryan Ofei, Nate Diaz & Lizzie Morgan]",7302,13
The Vow,,13
Abide,9819,12
Temple,3369,12
Jubilate (Reprise),,12
Baba,20570,11
No Limits,5748,10
Daily - Spanish Remix,,10
Amen (Wo Awie),,9
New Every Morning,5470,9
Jesus My Everything,,8
The Well,,8
Highest Praise - Live,,8
Love Song,,7
So Wonderful,,6
Welcome,3751,6
New Every Morning - Live,3567,6
Protect My Peace,,6
Call My Name,1822,6
Jehova Medley,,6
Blessed,,6
Celebrate - Live,36149,5
With God - Live,6276,5
The Vow,,5
Daily - Live,919,4
Summer Night,248,4
Abba - Live,2640,4
King Jesus - Live,,4
King of Heaven,7433,4
Jubilate (Reprise),,3
Restore,251,3
LET IT BLOW,,3
The Well,,3
Kem Di Hallelujah,,3
Beautiful,4126,3
Hallelujah,,3
LET IT BLOW,,3
Only God,1441,2
The Well,,2
No Limits,552,2
New Every Morning - Live,,2
Holy Forever / King of Heaven - Live,,2
Blessed,,2
Abba Interlude,,2
Jubilate,2673,2
Daily - French Remix,,2
Daily - Spanish Remix,,2
Everywhere I Go,1803,2
Noel,2294,2
Too Much,,2
Belong,,2
Ways,,2
Oluwa Ese,,2
