Title,Streams
Celebrate,"43,378"
WE STILL BELIEVE (HLY FOREVER),"32,744"
Daily [The Remixes],"31,703"
You Surround,"30,331"
Jubilate,"26,515"
New Every Morning,"24,996"
New Every Morning - Single,"23,494"
Temple - Single,"22,312"
Temple,"20,665"
Abba (feat. Ahjah) - Single,"18,547"
Abba,"13,567"
Baba - Single,"11,976"
Jehova - Single,"9,177"
Abide - Single,"8,497"
Prosper - Single,"8,238"
Father's House - Single,"6,206"
Ways,"5,966"
Oluwa Ese - Single,"5,893"
KING JESUS (LIVE),"5,638"
Blessed,"5,632"
Blessed - Single,"5,019"
Jubilate - Single,"4,873"
Faithfulness & Kem Di Hallelujah - Single,"4,371"
Noel - Single,"4,164"
No Limits - Single,"3,953"
Fear Not (Never Stop Praying),"3,854"
Ways (feat. Xavier Omär) - Single,"3,638"
Too Much - Single,"3,556"
FREED - Single,"3,097"
The Vow - EP,"3,035"
Daily (Remix) [feat. Becca Folkes] - Single,"2,834"
Rapha - Single,"2,729"
Highest Praise (Live) - EP,"2,124"
The Vow - Single,"1,679"
Daily (Spanish Remix) - Single,"1,655"
Protect My Peace - Single,"1,393"
Keep Praying: Live From Studio 20/20 [Acoustic],"1,326"
Jehova Medley (feat. Charity Grant) - Single,"1,320"
Creation's Song (feat. Grace Marr) - Single,"1,220"
Creation's Song (Feat. Grace Marr) - Single,"1,183"
Daily (French Remix) - Single,"1,125"
No Limits - Single,"1,052"
Jehova,855
,827
,789
,772
,599
,511
,491
,440
,413
,401
,397
,309
,285
,279
,244
,238
,164
,160
,154
,124
,120
,93
,60
,55
,33
,23
,6
,5
,3
,2
,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
