Date,Streams
2026-03-30,79397
2026-03-29,88949
2026-03-28,87087
2026-03-27,94671
2026-03-26,95447
2026-03-25,95497
2026-03-24,95393
2026-03-23,95304
2026-03-22,90866
2026-03-21,87405
2026-03-20,95384
2026-03-19,95995
2026-03-18,97911
2026-03-17,95516
2026-03-16,92290
2026-03-15,89088
2026-03-14,90416
2026-03-13,99412
2026-03-12,98638
2026-03-11,99961
2026-03-10,100636
2026-03-09,101876
2026-03-08,92152
2026-03-07,90172
2026-03-06,102367
2026-03-05,102995
2026-03-04,104880
2026-03-03,102559
2026-03-02,101463
2026-03-01,96707
2026-02-28,92613
2026-02-27,104762
2026-02-26,106758
2026-02-25,105440
2026-02-24,105634
2026-02-23,98993
2026-02-22,98586
2026-02-21,96494
2026-02-20,105997
2026-02-19,102971
2026-02-18,102342
2026-02-17,101167
2026-02-16,92269
2026-02-15,90000
2026-02-14,84787
2026-02-13,99218
2026-02-12,97766
2026-02-11,94391
2026-02-10,96082
2026-02-09,92540
2026-02-08,85576
2026-02-07,83467
2026-02-06,97366
2026-02-05,105339
2026-02-04,105781
2026-02-03,104999
2026-02-02,99654
2026-02-01,90946
2026-01-31,86608
2026-01-30,104562
2026-01-29,90691
2026-01-28,86771
2026-01-27,81777
2026-01-26,69176
2026-01-25,61489
2026-01-24,67979
2026-01-23,89437
2026-01-22,93120
2026-01-21,92052
2026-01-20,89553
2026-01-19,77476
2026-01-18,76440
2026-01-17,78823
2026-01-16,92722
2026-01-15,89669
2026-01-14,92114
2026-01-13,94344
2026-01-12,91985
2026-01-11,84279
2026-01-10,79179
2026-01-09,92730
2026-01-08,90762
2026-01-07,91062
2026-01-06,90131
2026-01-05,88310
2026-01-04,77035
2026-01-03,72702
2026-01-02,77298
