Date,Followers
01-Jan-26,49955
02-Jan-26,49964
03-Jan-26,49973
04-Jan-26,49982
05-Jan-26,49991
06-Jan-26,50000
07-Jan-26,50017
08-Jan-26,50033
09-Jan-26,50050
10-Jan-26,50067
11-Jan-26,50083
12-Jan-26,50100
13-Jan-26,50000
14-Jan-26,50100
15-Jan-26,50125
16-Jan-26,50150
17-Jan-26,50175
18-Jan-26,50200
19-Jan-26,50225
20-Jan-26,50250
21-Jan-26,50275
22-Jan-26,50300
23-Jan-26,50325
24-Jan-26,50350
25-Jan-26,50375
26-Jan-26,50400
27-Jan-26,50425
28-Jan-26,50450
29-Jan-26,50475
30-Jan-26,50500
31-Jan-26,50525
01-Feb-26,50550
02-Feb-26,50575
03-Feb-26,50600
04-Feb-26,50625
05-Feb-26,50650
06-Feb-26,50675
07-Feb-26,50700
08-Feb-26,50721
09-Feb-26,50743
10-Feb-26,50764
11-Feb-26,50786
12-Feb-26,50807
13-Feb-26,50829
14-Feb-26,50850
15-Feb-26,50871
16-Feb-26,50893
17-Feb-26,50914
18-Feb-26,50936
19-Feb-26,50957
20-Feb-26,50979
21-Feb-26,51000
22-Feb-26,51100
23-Feb-26,51125
24-Feb-26,51150
25-Feb-26,51175
26-Feb-26,51200
27-Feb-26,51233
28-Feb-26,51267
01-Mar-26,51300
02-Mar-26,51350
03-Mar-26,51400
04-Mar-26,51433
05-Mar-26,51467
06-Mar-26,51500
07-Mar-26,51533
08-Mar-26,51567
09-Mar-26,51600
10-Mar-26,51650
11-Mar-26,51700
12-Mar-26,51725
13-Mar-26,51750
14-Mar-26,51775
15-Mar-26,51800
16-Mar-26,51850
17-Mar-26,51900
18-Mar-26,51925
19-Mar-26,51950
20-Mar-26,51975
21-Mar-26,52000
22-Mar-26,52014
23-Mar-26,52029
24-Mar-26,52043
25-Mar-26,52057
26-Mar-26,52071
27-Mar-26,52086
28-Mar-26,52100
29-Mar-26,52100
30-Mar-26,52100
